threshold,precision,recall,f1,fpr,pr_auc,roc_auc,tn,fp,fn,tp
0.0,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.001,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.002,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.003,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.004,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.005,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.006,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.007,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.008,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.009000000000000001,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.01,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.011,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.012,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.013000000000000001,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.014,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.015,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.016,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.017,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.018000000000000002,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.019,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.02,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.021,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.022,0.49797233330036317,1.0,0.6648618565647609,1.0,0.7502665190436053,0.7349163480225073,0,35529,0,35242
0.023,0.49798640647741244,1.0,0.6648743998264331,0.9999437079568803,0.7502665190436053,0.7349163480225073,2,35527,0,35242
0.024,0.49798640647741244,1.0,0.6648743998264331,0.9999437079568803,0.7502665190436053,0.7349163480225073,2,35527,0,35242
0.025,0.49798640647741244,1.0,0.6648743998264331,0.9999437079568803,0.7502665190436053,0.7349163480225073,2,35527,0,35242
0.026000000000000002,0.49800751773450525,1.0,0.6648932156063693,0.9998592698922008,0.7502665190436053,0.7349163480225073,5,35524,0,35242
0.027,0.49804270714093923,1.0,0.6649245776062942,0.9997185397844015,0.7502665190436053,0.7349163480225073,10,35519,0,35242
